name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Christian McCaffrey,RB,140,124,0,0,0,0,0,0.0,0,99,442,1,41,343,1,0.0,0,25.137571428571427,0,7,0.0,4.645714285714285,0.0
Dalvin Cook,RB,326,333,0,0,0,0,0,0.0,0,249,1159,6,49,224,0,0.0,0,26.094230769230766,2,13,0.0,4.460769230769231,0.0
Derrick Henry,RB,227,195,0,0,0,0,0,0.0,0,219,937,10,20,154,0,0.0,0,27.275624999999998,0,8,0.0,4.305,0.0
Alvin Kamara,RB,291,214,0,0,0,0,0,0.0,0,240,898,4,67,439,5,0.0,0,26.10623076923077,0,13,0.0,3.4284615384615384,0.0
Ezekiel Elliott,RB,530,358,0,0,0,0,0,0.0,0,237,1002,10,65,287,2,0.0,0,26.112000000000002,1,17,0.0,4.009411764705882,0.0
Nick Chubb,RB,311,275,0,0,0,0,0,0.0,0,228,1259,8,25,174,1,0.0,0,25.410285714285713,1,14,0.0,5.574285714285714,0.0
Aaron Jones,RB,389,300,0,0,0,0,0,0.0,0,171,799,4,65,391,6,0.0,0,26.506333333333334,1,15,0.0,4.688000000000001,0.0
Davante Adams,WR,426,350,0,0,0,0,0,0.0,0,0,0,0,169,1553,11,0.849375,123,28.4396875,0,16,0.0,0.0,12.598749999999999
Jonathan Taylor,RB,451,365,0,0,0,0,0,0.0,0,332,1811,18,51,360,2,0.0,0,22.293411764705887,2,17,0.0,5.537647058823529,0.0
Saquon Barkley,RB,182,339,0,0,0,0,0,0.0,0,162,593,2,57,263,2,0.0,0,24.278384615384617,1,13,0.0,3.69,0.0
Travis Kelce,TE,444,354,0,0,0,0,0,0.0,0,0,0,0,134,1125,9,0.82125,92,31.873625000000004,1,16,0.0,0.0,11.290625
Tyreek Hill,WR,480,364,0,0,0,0,0,0.0,0,0,0,0,159,1239,9,0.7364705882352941,111,27.25329411764706,1,17,0.0,0.0,10.25294117647059
Najee Harris,RB,343,398,0,0,0,0,0,0.0,0,307,1200,7,94,467,3,0.0,0,23.247470588235295,0,17,0.0,3.6764705882352935,0.0
Austin Ekeler,RB,445,418,0,0,0,0,0,0.0,0,206,911,12,94,647,8,0.0,0,26.175625,3,16,0.0,4.386875,0.0
Antonio Gibson,RB,319,414,0,0,0,0,0,0.0,0,258,1037,7,52,294,3,0.0,0,23.137437499999997,4,16,0.0,4.03875,0.0
Patrick Mahomes,QB,480,364,436,658,4839,37,13,99.6058823529412,28,66,381,2,0,0,0,0.0,0,26.01594117647059,4,17,7.547058823529411,0.0,0.0
Stefon Diggs,WR,483,289,0,0,0,0,0,0.0,0,0,0,0,164,1225,10,0.8147058823529413,103,27.571588235294115,0,17,0.0,0.0,12.707647058823529
Joe Mixon,RB,444,355,0,0,0,0,0,0.0,0,292,1205,13,48,314,3,0.0,0,25.105375,1,16,0.0,4.04,0.0
D.K. Metcalf,WR,395,366,0,0,0,0,0,0.0,0,0,0,0,129,967,12,0.8352941176470589,75,23.481176470588235,0,17,0.0,0.0,14.458235294117646
