name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Kenyan Drake,RB,254,430,0,0,0,0,0,0.0,0,170,817,8,68,345,0,0.0,0,25.281785714285714,1,14,0.0,4.331428571428572,0.0
Darwin Thompson,RB,300,182,0,0,0,0,0,0.0,0,37,128,1,10,43,0,0.0,0,22.2703,0,10,0.0,2.022,0.0
Jared Goff,QB,394,364,394,626,4638,22,16,86.31875,22,33,40,2,0,0,0,0.0,0,24.7816875,5,16,7.52125,0.0,0.0
Will Fuller,WR,280,244,0,0,0,0,0,0.0,0,0,0,0,71,670,3,0.7854545454545453,49,25.191181818181818,0,11,0.0,0.0,12.579090909090906
Matt Breida,RB,355,225,0,0,0,0,0,0.0,0,123,623,1,22,120,1,0.0,0,24.241500000000002,1,12,0.0,5.070833333333333,0.0
David Njoku,TE,63,65,0,0,0,0,0,0.0,0,0,0,0,10,41,1,0.48,5,23.093,0,3,0.0,0.0,4.416666666666667
Tarik Cohen,RB,280,298,0,0,0,0,0,0.0,0,64,213,0,104,456,3,0.0,0,24.1008125,0,16,0.0,3.04875,0.0
Emmanuel Sanders,WR,435,382,0,0,0,0,0,0.0,0,0,0,0,97,869,5,0.7805882352941176,66,32.23070588235294,0,17,0.0,0.0,11.705882352941176
Devin Singletary,RB,263,206,0,0,0,0,0,0.0,0,151,775,2,41,194,2,0.0,0,22.0665,1,12,0.0,6.169999999999999,0.0
Russell Wilson,QB,405,398,341,516,4110,31,5,107.79375,48,75,342,3,0,0,0,0.0,0,30.536500000000004,2,16,8.188749999999999,0.0,0.0
Lamar Jackson,QB,503,272,265,401,3127,36,6,108.46000000000001,23,176,1206,7,0,0,0,0.0,0,22.296599999999998,2,15,8.15,0.0,0.0
Curtis Samuel,WR,340,470,0,0,0,0,0,0.0,0,0,0,0,105,627,6,0.8556250000000001,54,23.0846875,0,16,0.0,0.0,11.296875
LeSean McCoy,RB,362,249,0,0,0,0,0,0.0,0,101,465,4,34,181,1,0.0,0,31.103615384615388,2,13,0.0,4.05076923076923,0.0
Sammy Watkins,WR,384,252,0,0,0,0,0,0.0,0,0,0,0,90,673,3,0.8376923076923076,52,26.145307692307693,1,13,0.0,0.0,11.584615384615384
Christian Kirk,WR,274,365,0,0,0,0,0,0.0,0,0,0,0,108,709,3,0.9407692307692308,68,22.59723076923077,0,13,0.0,0.0,9.306153846153846
Rashaad Penny,RB,239,220,0,0,0,0,0,0.0,0,65,370,3,11,83,1,0.0,0,23.268444444444444,1,9,0.0,4.135555555555555,0.0
Darrell Henderson,RB,224,181,0,0,0,0,0,0.0,0,39,147,0,6,37,0,0.0,0,22.08288888888889,0,9,0.0,2.502222222222222,0.0
Cam Newton,QB,41,50,50,89,572,0,1,71.1,6,5,-2,0,0,0,0,0.0,0,30.122,2,2,6.41,0.0,0.0
Marvin Jones,WR,287,335,0,0,0,0,0,0.0,0,0,0,0,91,779,9,0.9015384615384614,62,29.22669230769231,0,13,0.0,0.0,12.73076923076923
Delanie Walker,TE,98,92,0,0,0,0,0,0.0,0,0,0,0,31,215,2,0.48666666666666675,21,35.044000000000004,0,6,0.0,0.0,9.703333333333333
