name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Aidan O'Connell,QB,235,198,213,343,2218,12,7,83.16363636363634,24,17,11,1,0,0,0,0.0,0,25.086454545454547,2,11,6.34909090909091,0.0,0.0
Javonte Williams,RB,336,382,0,0,0,0,0,0.0,0,217,774,3,58,228,2,0.0,0,23.1995,1,16,0.0,3.3862499999999995,0.0
Courtland Sutton,WR,341,404,0,0,0,0,0,0.0,0,0,0,0,90,772,10,0.785,59,27.8278125,3,16,0.0,0.0,13.255
Zay Flowers,WR,473,263,0,0,0,0,0,0.0,0,0,0,0,108,858,5,0.843125,77,23.013437500000002,0,16,0.0,0.0,12.47375
Adam Thielen,WR,236,416,0,0,0,0,0,0.0,0,0,0,0,137,1014,4,0.9111764705882353,103,33.07941176470588,0,17,0.0,0.0,8.991764705882353
Zach Wilson,QB,180,240,221,368,2271,8,7,73.94166666666666,46,36,211,0,0,0,0,0.0,0,24.082500000000007,7,12,5.983333333333333,0.0,0.0
Jaylen Waddle,WR,393,294,0,0,0,0,0,0.0,0,0,0,0,104,1014,4,0.6699999999999999,72,24.524857142857144,0,14,0.0,0.0,16.27857142857143
Travis Kelce,TE,338,261,0,0,0,0,0,0.0,0,0,0,0,121,984,5,0.77,93,33.9072,1,15,0.0,0.0,10.091333333333335
Chris Godwin,WR,348,325,0,0,0,0,0,0.0,0,0,0,0,130,1024,2,0.8123529411764705,83,27.256235294117648,0,17,0.0,0.0,11.702941176470588
Terry McLaurin,WR,329,518,0,0,0,0,0,0.0,0,0,0,0,132,1002,4,0.8517647058823531,79,28.014941176470586,0,17,0.0,0.0,12.113529411764707
T.J. Hockenson,TE,314,299,0,0,0,0,0,0.0,0,0,0,0,127,960,5,0.7906666666666666,95,26.119266666666665,1,15,0.0,0.0,10.531333333333333
Ezekiel Elliott,RB,236,366,0,0,0,0,0,0.0,0,184,642,3,65,313,2,0.0,0,28.10870588235294,1,17,0.0,3.503529411764706,0.0
Tyler Lockett,WR,364,402,0,0,0,0,0,0.0,0,0,0,0,122,894,5,0.7994117647058824,79,30.931058823529412,0,17,0.0,0.0,11.867058823529412
David Njoku,TE,382,331,0,0,0,0,0,0.0,0,0,0,0,123,882,6,0.8162499999999999,81,27.119625,2,16,0.0,0.0,10.778125
Tyler Allgeier,RB,321,373,0,0,0,0,0,0.0,0,186,683,4,23,193,1,0.0,0,23.206882352941175,0,17,0.0,3.7188235294117646,0.0
Brandin Cooks,WR,479,305,0,0,0,0,0,0.0,0,0,0,0,81,657,8,0.733125,54,29.969125,0,16,0.0,0.0,11.065625
Mac Jones,QB,148,248,224,345,2120,10,12,72.33636363636364,22,26,96,0,0,0,0,0.0,0,25.040636363636363,2,11,6.258181818181817,0.0,0.0
Garrett Wilson,WR,268,355,0,0,0,0,0,0.0,0,0,0,0,168,1042,3,0.9147058823529413,95,23.11035294117647,2,17,0.0,0.0,12.614117647058823
Tank Dell,WR,239,219,0,0,0,0,0,0.0,0,0,0,0,75,709,7,0.709,47,23.672,0,10,0.0,0.0,14.791
Evan Engram,TE,377,371,0,0,0,0,0,0.0,0,0,0,0,143,963,4,0.7864705882352941,114,29.067588235294117,2,17,0.0,0.0,8.24470588235294
Romeo Doubs,WR,383,350,0,0,0,0,0,0.0,0,0,0,0,96,674,8,0.7670588235294117,59,23.21070588235294,0,17,0.0,0.0,10.617647058823529
Kenny Pickett,QB,192,229,201,324,2070,6,4,81.68333333333334,23,42,54,1,0,0,0,0.0,0,25.138416666666668,0,12,6.3808333333333325,0.0,0.0
Rashid Shaheed,WR,346,288,0,0,0,0,0,0.0,0,0,0,0,75,719,5,0.5800000000000001,46,25.064733333333336,1,15,0.0,0.0,15.356666666666667
Joe Flacco,QB,143,122,123,204,1616,13,8,92.39999999999999,8,9,2,0,0,0,0,0.0,0,38.3344,1,5,8.12,0.0,0.0
Cole Kmet,TE,323,362,0,0,0,0,0,0.0,0,0,0,0,90,719,6,0.8075,73,24.238375,0,16,0.0,0.0,9.465
Rhamondre Stevenson,RB,148,254,0,0,0,0,0,0.0,0,156,619,4,51,238,0,0.0,0,25.23866666666667,1,12,0.0,4.0841666666666665,0.0
Jake Ferguson,TE,509,315,0,0,0,0,0,0.0,0,0,0,0,102,761,5,0.7464705882352941,71,24.295176470588235,0,17,0.0,0.0,11.563529411764707
Will Levis,QB,156,210,149,255,1808,8,4,84.33333333333333,28,25,57,1,0,0,0,0.0,0,24.15255555555556,4,9,6.85,0.0,0.0
Cooper Kupp,WR,285,272,0,0,0,0,0,0.0,0,0,0,0,95,737,5,0.9058333333333334,59,30.157333333333337,0,12,0.0,0.0,12.235
Drake London,WR,293,342,0,0,0,0,0,0.0,0,0,0,0,110,905,2,0.8125,69,22.107062499999998,0,16,0.0,0.0,11.721250000000001
Aaron Jones,RB,250,226,0,0,0,0,0,0.0,0,142,656,2,43,233,1,0.0,0,28.57945454545455,1,11,0.0,4.336363636363636,0.0
Kareem Hunt,RB,350,333,0,0,0,0,0,0.0,0,135,411,9,21,84,0,0.0,0,28.10386666666666,0,15,0.0,2.700666666666667,0.0
Alexander Mattison,RB,320,335,0,0,0,0,0,0.0,0,180,700,0,44,192,3,0.0,0,25.1385,2,16,0.0,3.773125,0.0
Tyjae Spears,RB,305,367,0,0,0,0,0,0.0,0,100,453,2,70,385,1,0.0,0,22.14741176470588,0,17,0.0,4.7570588235294125,0.0
Diontae Johnson,WR,232,244,0,0,0,0,0,0.0,0,0,0,0,87,717,5,0.7115384615384616,51,27.140615384615383,0,13,0.0,0.0,14.176153846153849
Darius Slayton,WR,266,407,0,0,0,0,0,0.0,0,0,0,0,79,770,4,0.8058823529411763,50,26.29905882352941,0,17,0.0,0.0,14.440588235294118
Trey McBride,TE,330,455,0,0,0,0,0,0.0,0,0,0,0,106,825,3,0.6894117647058824,81,23.573764705882354,0,17,0.0,0.0,9.669411764705885
Tommy DeVito,QB,156,207,114,178,1101,8,3,85.87777777777777,37,36,195,1,0,0,0,0.0,0,25.115111111111112,1,9,5.785555555555556,0.0,0.0
Tee Higgins,WR,244,270,0,0,0,0,0,0.0,0,0,0,0,76,656,5,0.7383333333333333,42,24.290999999999997,0,12,0.0,0.0,14.910833333333334
AJ Dillon,RB,346,307,0,0,0,0,0,0.0,0,178,613,2,28,223,0,0.0,0,25.185333333333332,0,15,0.0,3.37,0.0
Curtis Samuel,WR,309,501,0,0,0,0,0,0.0,0,0,0,0,91,613,4,0.56375,62,27.087375,0,16,0.0,0.0,10.16
Christian Kirk,WR,285,259,0,0,0,0,0,0.0,0,0,0,0,85,787,3,0.7058333333333332,57,26.495416666666667,2,12,0.0,0.0,15.034166666666666
Khalil Herbert,RB,271,281,0,0,0,0,0,0.0,0,132,611,2,31,134,1,0.0,0,25.203666666666674,1,12,0.0,4.2299999999999995,0.0
Dalton Schultz,TE,349,306,0,0,0,0,0,0.0,0,0,0,0,88,635,5,0.7266666666666666,59,27.11786666666666,1,15,0.0,0.0,9.954666666666666
Deshaun Watson,QB,172,101,105,171,1115,7,4,73.88333333333334,17,26,142,1,0,0,0,0.0,0,27.920666666666666,2,6,5.751666666666666,0.0,0.0
Mark Andrews,TE,279,168,0,0,0,0,0,0.0,0,0,0,0,61,544,6,0.6980000000000001,45,28.0422,0,10,0.0,0.0,12.997
Tyrod Taylor,QB,144,228,116,180,1341,5,3,78.37,17,38,197,0,0,0,0,0.0,0,34.098,0,10,5.511,0.0,0.0
Josh Downs,WR,396,415,0,0,0,0,0,0.0,0,0,0,0,98,771,2,0.6752941176470588,68,22.087764705882353,0,17,0.0,0.0,12.253529411764706
Josh Reynolds,WR,441,389,0,0,0,0,0,0.0,0,0,0,0,64,608,5,0.7012499999999999,40,28.2679375,1,16,0.0,0.0,14.83375
Jerry Jeudy,WR,341,396,0,0,0,0,0,0.0,0,0,0,0,87,758,2,0.65875,54,24.20225,0,16,0.0,0.0,14.38125
Ryan Tannehill,QB,152,183,149,230,1616,4,7,78.72222222222223,32,17,74,1,0,0,0,0.0,0,35.094,0,9,7.0055555555555555,0.0,0.0
Jaxon Smith-Njigba,WR,364,402,0,0,0,0,0,0.0,0,0,0,0,93,628,4,0.6482352941176471,63,21.269117647058824,0,17,0.0,0.0,10.239999999999998
Kyle Pitts,TE,321,373,0,0,0,0,0,0.0,0,0,0,0,90,667,3,0.6447058823529412,53,22.883470588235294,0,17,0.0,0.0,12.50764705882353
