name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Josh Allen,QB,451,311,385,579,4306,29,18,91.95882352941176,24,111,524,15,0,0,0,0.0,0,27.169941176470587,4,17,7.587058823529411,0.0,0.0
Jalen Hurts,QB,433,428,352,538,3858,23,15,88.15882352941176,36,157,605,15,0,0,0,0.0,0,25.09335294117647,5,17,7.097058823529412,0.0,0.0
Dak Prescott,QB,509,315,410,590,4516,36,9,103.81176470588237,39,55,242,2,0,0,0,0.0,0,30.103176470588235,2,17,7.653529411764707,0.0,0.0
Lamar Jackson,QB,473,263,307,457,3678,24,7,101.8125,37,148,821,5,0,0,0,0.0,0,26.300125,6,16,8.33625,0.0,0.0
Jordan Love,QB,383,350,372,579,4159,32,11,97.6,30,50,247,4,0,0,0,0.0,0,24.746235294117646,3,17,7.263529411764705,0.0,0.0
Christian McCaffrey,RB,471,277,0,0,0,0,0,0.0,0,272,1459,14,83,564,7,0.0,0,27.150750000000002,2,16,0.0,5.3325,0.0
Brock Purdy,QB,471,277,308,444,4280,31,11,112.06875,28,39,144,2,0,0,0,0.0,0,23.3524375,2,16,9.778125,0.0,0.0
Jared Goff,QB,461,395,407,605,4575,30,12,98.72941176470589,30,32,21,2,0,0,0,0.0,0,28.838352941176467,4,17,7.68,0.0,0.0
Patrick Mahomes,QB,358,282,401,597,4183,27,14,93.05,27,75,389,0,0,0,0,0.0,0,28.008625000000002,3,16,7.05625,0.0,0.0
Tua Tagovailoa,QB,496,391,388,560,4624,29,14,100.96470588235294,29,35,74,0,0,0,0,0.0,0,25.251235294117645,5,17,8.365882352941176,0.0,0.0
Baker Mayfield,QB,348,325,364,566,4044,28,10,94.88235294117646,40,62,163,1,0,0,0,0.0,0,28.210235294117645,3,17,7.264705882352941,0.0,0.0
C.J. Stroud,QB,336,301,319,499,4108,23,5,99.86666666666666,38,39,167,3,0,0,0,0.0,0,21.862666666666662,4,15,8.151333333333334,0.0,0.0
Sam Howell,QB,329,518,388,612,3946,21,21,75.20588235294117,65,48,263,5,0,0,0,0.0,0,23.01394117647059,2,17,6.198823529411764,0.0,0.0
Trevor Lawrence,QB,351,371,370,564,4016,21,14,89.78125,35,70,339,4,0,0,0,0.0,0,23.8715625,7,16,7.21875,0.0,0.0
CeeDee Lamb,WR,509,315,0,0,0,0,0,0.0,0,0,0,0,181,1749,12,0.8370588235294117,135,24.215176470588236,2,17,0.0,0.0,13.00235294117647
Russell Wilson,QB,327,377,297,447,3070,26,8,96.86666666666669,45,80,341,3,0,0,0,0.0,0,34.5064,5,15,6.778000000000001,0.0,0.0
Tyreek Hill,WR,466,391,0,0,0,0,0,0.0,0,0,0,0,171,1799,13,0.673125,119,29.249812499999997,1,16,0.0,0.0,15.739375
Matthew Stafford,QB,380,337,326,521,3965,24,11,92.94000000000001,30,21,65,0,0,0,0,0.0,0,35.2704,0,15,7.721333333333333,0.0,0.0
Derek Carr,QB,402,327,375,548,3878,25,8,100.24117647058823,31,32,40,0,0,0,0,0.0,0,32.224588235294114,3,17,7.194117647058825,0.0,0.0
Raheem Mostert,RB,463,314,0,0,0,0,0,0.0,0,209,1012,18,32,175,3,0.0,0,31.20573333333333,1,15,0.0,4.731333333333334,0.0
Justin Herbert,QB,282,282,297,456,3134,20,7,88.55384615384615,29,52,228,3,0,0,0,0.0,0,25.230999999999995,1,13,6.793846153846155,0.0,0.0
Justin Fields,QB,284,300,227,370,2562,16,9,83.76153846153846,44,124,657,4,0,0,0,0.0,0,24.248615384615384,4,13,6.981538461538461,0.0,0.0
Geno Smith,QB,328,357,323,499,3624,20,9,91.47333333333334,31,37,155,1,0,0,0,0.0,0,32.85726666666667,3,15,7.130000000000001,0.0,0.0
Kyren Williams,RB,326,254,0,0,0,0,0,0.0,0,228,1144,12,48,206,3,0.0,0,23.07083333333333,2,12,0.0,4.956666666666668,0.0
Derrick Henry,RB,305,367,0,0,0,0,0,0.0,0,280,1167,12,36,214,0,0.0,0,29.34676470588235,0,17,0.0,4.056470588235293,0.0
Joe Mixon,RB,366,384,0,0,0,0,0,0.0,0,257,1034,9,64,376,3,0.0,0,27.10835294117647,0,17,0.0,4.06,0.0
Breece Hall,RB,268,355,0,0,0,0,0,0.0,0,223,994,5,95,591,4,0.0,0,22.16235294117647,0,17,0.0,4.288235294117648,0.0
Amon-Ra St. Brown,WR,419,371,0,0,0,0,0,0.0,0,0,0,0,164,1515,10,0.8975,119,23.778937499999998,1,16,0.0,0.0,13.695625
Joshua Dobbs,QB,242,293,262,417,2464,13,10,80.84615384615384,30,77,421,6,0,0,0,0.0,0,28.26961538461539,7,13,5.903846153846154,0.0,0.0
Gardner Minshew II,QB,373,386,305,490,3305,15,9,85.95625000000001,34,34,100,3,0,0,0,0.0,0,27.178125,5,16,6.77125,0.0,0.0
Rachaad White,RB,348,325,0,0,0,0,0,0.0,0,272,990,6,70,549,3,0.0,0,24.30223529411765,2,17,0.0,3.6541176470588237,0.0
Mike Evans,WR,348,325,0,0,0,0,0,0.0,0,0,0,0,136,1255,13,0.786470588235294,79,30.081235294117647,0,17,0.0,0.0,15.172941176470587
Puka Nacua,WR,404,377,0,0,0,0,0,0.0,0,0,0,0,160,1486,6,0.8723529411764704,105,22.163176470588237,0,17,0.0,0.0,14.17470588235294
David Montgomery,RB,409,337,0,0,0,0,0,0.0,0,219,1015,13,24,117,0,0.0,0,26.159214285714288,1,14,0.0,4.777142857142858,0.0
Jahmyr Gibbs,RB,399,365,0,0,0,0,0,0.0,0,182,945,10,71,316,1,0.0,0,21.236800000000002,1,15,0.0,5.212000000000001,0.0
James Cook,RB,451,311,0,0,0,0,0,0.0,0,237,1122,2,54,445,4,0.0,0,23.930882352941175,2,17,0.0,4.41235294117647,0.0
Bijan Robinson,RB,321,373,0,0,0,0,0,0.0,0,214,976,4,86,487,4,0.0,0,21.281882352941174,3,17,0.0,4.34235294117647,0.0
Desmond Ridder,QB,264,332,249,388,2836,12,12,82.28,31,53,193,5,0,0,0,0.0,0,24.066000000000006,7,15,7.053333333333333,0.0,0.0
A.J. Brown,WR,433,428,0,0,0,0,0,0.0,0,0,0,0,158,1456,7,0.8888235294117647,106,26.13135294117647,2,17,0.0,0.0,12.862941176470589
Saquon Barkley,RB,235,322,0,0,0,0,0,0.0,0,247,962,6,60,280,4,0.0,0,26.279142857142855,2,14,0.0,3.906428571428571,0.0
Nico Collins,WR,328,310,0,0,0,0,0,0.0,0,0,0,0,109,1297,8,0.6793333333333335,80,24.2328,0,15,0.0,0.0,15.310666666666664
Gus Edwards,RB,483,280,0,0,0,0,0,0.0,0,198,810,13,13,180,0,0.0,0,28.207882352941176,2,17,0.0,4.2941176470588225,0.0
James Conner,RB,287,351,0,0,0,0,0,0.0,0,208,1040,7,33,165,2,0.0,0,28.189384615384615,0,13,0.0,5.115384615384615,0.0
Brandon Aiyuk,WR,461,286,0,0,0,0,0,0.0,0,0,0,0,105,1342,7,0.8150000000000001,75,25.2395,1,16,0.0,0.0,17.646250000000002
Keenan Allen,WR,282,282,0,0,0,0,0,0.0,0,0,0,0,150,1243,7,0.89,108,31.183,1,13,0.0,0.0,11.639999999999999
Kenneth Walker III,RB,316,330,0,0,0,0,0,0.0,0,219,905,8,37,259,1,0.0,0,22.807266666666667,0,15,0.0,4.232,0.0
Isiah Pacheco,RB,314,245,0,0,0,0,0,0.0,0,205,935,7,49,244,2,0.0,0,24.241714285714284,1,14,0.0,4.395714285714286,0.0
Tony Pollard,RB,509,315,0,0,0,0,0,0.0,0,252,1005,6,67,311,0,0.0,0,26.193176470588238,1,17,0.0,4.044117647058823,0.0
Jerome Ford,RB,396,362,0,0,0,0,0,0.0,0,204,813,4,63,319,5,0.0,0,23.522999999999996,1,17,0.0,3.8617647058823534,0.0
Stefon Diggs,WR,451,311,0,0,0,0,0,0.0,0,0,0,0,160,1183,8,0.8129411764705884,107,29.529705882352943,1,17,0.0,0.0,10.797647058823529
Najee Harris,RB,304,324,0,0,0,0,0,0.0,0,255,1035,8,38,170,0,0.0,0,25.245470588235293,1,17,0.0,3.9564705882352937,0.0
Bryce Young,QB,209,379,315,527,2877,11,10,74.275,62,39,253,0,0,0,0,0.0,0,22.1103125,6,16,5.4925,0.0,0.0
De'Von Achane,RB,322,254,0,0,0,0,0,0.0,0,103,800,8,37,197,3,0.0,0,21.804272727272725,1,11,0.0,6.806363636363636,0.0
Ja'Marr Chase,WR,355,350,0,0,0,0,0,0.0,0,0,0,0,145,1216,7,0.87,100,23.250625,0,16,0.0,0.0,11.953125
Davante Adams,WR,332,331,0,0,0,0,0,0.0,0,0,0,0,175,1144,8,0.9211764705882352,103,30.430117647058825,0,17,0.0,0.0,10.866470588235293
Brian Robinson Jr.,RB,281,460,0,0,0,0,0,0.0,0,178,733,5,43,368,4,0.0,0,24.223400000000005,2,15,0.0,4.200666666666667,0.0
D'Andre Swift,RB,423,401,0,0,0,0,0,0.0,0,229,1049,5,49,214,1,0.0,0,24.294625,1,16,0.0,4.2837499999999995,0.0
Alvin Kamara,RB,301,260,0,0,0,0,0,0.0,0,180,694,5,86,466,1,0.0,0,28.112769230769228,0,13,0.0,3.860769230769231,0.0
Amari Cooper,WR,345,311,0,0,0,0,0,0.0,0,0,0,0,128,1250,5,0.7806666666666667,72,29.139199999999995,1,15,0.0,0.0,16.326
Kirk Cousins,QB,175,162,216,311,2331,18,5,102.83749999999999,17,14,25,0,0,0,0,0.0,0,35.04625,4,8,7.483750000000001,0.0,0.0
Calvin Ridley,WR,377,371,0,0,0,0,0,0.0,0,0,0,0,136,1016,8,0.8511764705882353,76,28.435647058823534,0,17,0.0,0.0,12.776470588235293
Sam LaPorta,TE,461,395,0,0,0,0,0,0.0,0,0,0,0,120,889,10,0.8258823529411764,86,22.300117647058826,0,17,0.0,0.0,10.166470588235297
Jayden Reed,WR,350,320,0,0,0,0,0,0.0,0,0,0,0,94,793,8,0.561875,64,23.1929375,0,16,0.0,0.0,13.083749999999998
Joe Burrow,QB,202,226,244,365,2309,15,6,90.91,24,31,88,0,0,0,0,0.0,0,26.308100000000003,1,10,6.24,0.0,0.0
Kyler Murray,QB,179,215,176,268,1799,10,5,90.125,18,44,244,3,0,0,0,0.0,0,26.125,0,8,6.82125,0.0,0.0
Jordan Addison,WR,344,362,0,0,0,0,0,0.0,0,0,0,0,108,911,10,0.8105882352941177,70,21.283941176470588,0,17,0.0,0.0,11.976470588235296
Jake Browning,QB,187,216,171,243,1936,12,7,92.58888888888889,24,27,127,3,0,0,0,0.0,0,27.235555555555557,0,9,6.975555555555555,0.0,0.0
DeAndre Hopkins,WR,305,367,0,0,0,0,0,0.0,0,0,0,0,137,1057,7,0.7217647058823529,75,31.156411764705883,0,17,0.0,0.0,14.452352941176471
Jakobi Meyers,WR,322,293,0,0,0,0,0,0.0,0,0,0,0,106,807,8,0.898125,71,26.68375,0,16,0.0,0.0,12.891875
DeVonta Smith,WR,423,401,0,0,0,0,0,0.0,0,0,0,0,112,1066,7,0.963125,81,24.6334375,1,16,0.0,0.0,13.278125000000001
George Pickens,WR,304,324,0,0,0,0,0,0.0,0,0,0,0,106,1140,5,0.8700000000000001,63,22.25047058823529,0,17,0.0,0.0,16.638823529411766
Chris Olave,WR,378,321,0,0,0,0,0,0.0,0,0,0,0,138,1123,5,0.7381249999999999,87,23.131125,0,16,0.0,0.0,12.11375
Josh Jacobs,RB,202,259,0,0,0,0,0,0.0,0,233,805,6,54,296,0,0.0,0,25.253692307692308,1,13,0.0,3.240769230769231,0.0
Chuba Hubbard,RB,236,416,0,0,0,0,0,0.0,0,238,902,5,44,233,0,0.0,0,24.151411764705884,0,17,0.0,3.9629411764705886,0.0
Zack Moss,RB,342,335,0,0,0,0,0,0.0,0,183,794,5,37,192,2,0.0,0,25.41557142857143,0,14,0.0,4.1328571428571435,0.0
Michael Pittman Jr.,WR,386,386,0,0,0,0,0,0.0,0,0,0,0,156,1152,4,0.9175,109,25.872125,1,16,0.0,0.0,12.489374999999999
George Kittle,TE,471,277,0,0,0,0,0,0.0,0,0,0,0,90,1020,6,0.895,65,29.8283125,0,16,0.0,0.0,15.425625
Jonathan Taylor,RB,224,241,0,0,0,0,0,0.0,0,169,741,7,23,153,1,0.0,0,24.302500000000002,0,10,0.0,4.2379999999999995,0.0
Devin Singletary,RB,377,353,0,0,0,0,0,0.0,0,216,898,4,38,193,0,0.0,0,26.067470588235295,0,17,0.0,3.727058823529412,0.0
Jaylen Warren,RB,304,324,0,0,0,0,0,0.0,0,149,784,4,74,370,0,0.0,0,24.747,2,17,0.0,4.915294117647059,0.0
Austin Ekeler,RB,270,330,0,0,0,0,0,0.0,0,179,628,5,74,436,1,0.0,0,28.18735714285714,4,14,0.0,3.4307142857142856,0.0
Justin Jefferson,WR,191,242,0,0,0,0,0,0.0,0,0,0,0,100,1074,5,0.867,68,24.145100000000003,1,10,0.0,0.0,15.271
Rashee Rice,WR,358,282,0,0,0,0,0,0.0,0,0,0,0,102,938,7,0.585,79,23.196312499999998,1,16,0.0,0.0,11.879375
